universite,baslik_no,deger,yil
Orta Doğu Teknik Üniversitesi,A.1,206,2021
Orta Doğu Teknik Üniversitesi,A.2.1,27,2021
Orta Doğu Teknik Üniversitesi,A.2.2,30,2021
Orta Doğu Teknik Üniversitesi,A.3,28,2021
Orta Doğu Teknik Üniversitesi,A.4.1,440,2021
Orta Doğu Teknik Üniversitesi,A.4.2,401,2021
Orta Doğu Teknik Üniversitesi,A.5,2259,2021
Orta Doğu Teknik Üniversitesi,A.6,0.9921,2021
Orta Doğu Teknik Üniversitesi,A.7,1,2021
Orta Doğu Teknik Üniversitesi,A.8,0.81,2021
Orta Doğu Teknik Üniversitesi,A.9,0.4018,2021
Orta Doğu Teknik Üniversitesi,A.10,18,2021
Orta Doğu Teknik Üniversitesi,A.11.1,16.82,2021
Orta Doğu Teknik Üniversitesi,A.11.2,21.29,2021
Orta Doğu Teknik Üniversitesi,B.1,0.073,2021
Orta Doğu Teknik Üniversitesi,B.2,0.601,2021
Orta Doğu Teknik Üniversitesi,B.3,706,2021
Orta Doğu Teknik Üniversitesi,B.4,0.44624,2021
Orta Doğu Teknik Üniversitesi,B.5.1,46,2021
Orta Doğu Teknik Üniversitesi,B.5.2,20,2021
Orta Doğu Teknik Üniversitesi,B.6,2,2021
Orta Doğu Teknik Üniversitesi,B.7,183,2021
Orta Doğu Teknik Üniversitesi,B.8,0,2021
Orta Doğu Teknik Üniversitesi,B.9,449,2021
Orta Doğu Teknik Üniversitesi,B.10,529,2021
Orta Doğu Teknik Üniversitesi,B.11,396,2021
Orta Doğu Teknik Üniversitesi,B.12.1,601.801,2021
Orta Doğu Teknik Üniversitesi,B.12.2,172,2021
Orta Doğu Teknik Üniversitesi,B.12.3,6,2021
Orta Doğu Teknik Üniversitesi,B.12.4,591.601,2021
Orta Doğu Teknik Üniversitesi,B.12.5,155,2021
Orta Doğu Teknik Üniversitesi,B.12.6,4,2021
Orta Doğu Teknik Üniversitesi,B.12.7,801.901,2021
Orta Doğu Teknik Üniversitesi,B.12.8,7,2021
Orta Doğu Teknik Üniversitesi,B.13,1,2021
Orta Doğu Teknik Üniversitesi,B.14.1,19754,2021
Orta Doğu Teknik Üniversitesi,B.14.2,3354551.75,2021
Orta Doğu Teknik Üniversitesi,B.15,0.26,2021
Orta Doğu Teknik Üniversitesi,B.16,,2021
Orta Doğu Teknik Üniversitesi,B.17.1,0.3481,2021
Orta Doğu Teknik Üniversitesi,B.17.2,0.6069,2021
Orta Doğu Teknik Üniversitesi,B.18.1,413,2021
Orta Doğu Teknik Üniversitesi,B.18.2,141664664,2021
Orta Doğu Teknik Üniversitesi,B.19,0.01283,2021
Orta Doğu Teknik Üniversitesi,C.1.1,64,2021
Orta Doğu Teknik Üniversitesi,C.1.2,75,2021
Orta Doğu Teknik Üniversitesi,C.2,1614,2021
Orta Doğu Teknik Üniversitesi,C.3.1,1,2021
Orta Doğu Teknik Üniversitesi,C.3.2,19,2021
Orta Doğu Teknik Üniversitesi,C.4.1,188,2021
Orta Doğu Teknik Üniversitesi,C.4.2,335,2021
Orta Doğu Teknik Üniversitesi,C.5,69,2021
Orta Doğu Teknik Üniversitesi,C.6,50,2021
Orta Doğu Teknik Üniversitesi,D.1,29,2021
Orta Doğu Teknik Üniversitesi,D.2,623,2021
Orta Doğu Teknik Üniversitesi,D.3,47,2021
Orta Doğu Teknik Üniversitesi,D.4,55,2021
Orta Doğu Teknik Üniversitesi,D.5.1,6,2021
Orta Doğu Teknik Üniversitesi,D.5.2,2,2021
Orta Doğu Teknik Üniversitesi,D.6.1,0,2021
Orta Doğu Teknik Üniversitesi,D.6.2,103,2021
Orta Doğu Teknik Üniversitesi,D.7,9580988,2021
Orta Doğu Teknik Üniversitesi,D.8,21981,2021
Orta Doğu Teknik Üniversitesi,D.9,0.12,2021
Yıldız Teknik Üniversitesi,A.1,157,2021
Yıldız Teknik Üniversitesi,A.2.1,19,2021
Yıldız Teknik Üniversitesi,A.2.2,12,2021
Yıldız Teknik Üniversitesi,A.3,52,2021
Yıldız Teknik Üniversitesi,A.4.1,111,2021
Yıldız Teknik Üniversitesi,A.4.2,277,2021
Yıldız Teknik Üniversitesi,A.5,1160,2021
Yıldız Teknik Üniversitesi,A.6,0.99,2021
Yıldız Teknik Üniversitesi,A.7,1,2021
Yıldız Teknik Üniversitesi,A.8,0.58,2021
Yıldız Teknik Üniversitesi,A.9,0.4209,2021
Yıldız Teknik Üniversitesi,A.10,7,2021
Yıldız Teknik Üniversitesi,A.11.1,4.25,2021
Yıldız Teknik Üniversitesi,A.11.2,11.68,2021
Yıldız Teknik Üniversitesi,B.1,0.192,2021
Yıldız Teknik Üniversitesi,B.2,0.724,2021
Yıldız Teknik Üniversitesi,B.3,422,2021
Yıldız Teknik Üniversitesi,B.4,0.42913,2021
Yıldız Teknik Üniversitesi,B.5.1,87,2021
Yıldız Teknik Üniversitesi,B.5.2,14,2021
Yıldız Teknik Üniversitesi,B.6,4,2021
Yıldız Teknik Üniversitesi,B.7,170,2021
Yıldız Teknik Üniversitesi,B.8,0,2021
Yıldız Teknik Üniversitesi,B.9,426,2021
Yıldız Teknik Üniversitesi,B.10,177,2021
Yıldız Teknik Üniversitesi,B.11,106,2021
Yıldız Teknik Üniversitesi,B.12.1,1001,2021
Yıldız Teknik Üniversitesi,B.12.2,351.401,2021
Yıldız Teknik Üniversitesi,B.12.3,12,2021
Yıldız Teknik Üniversitesi,B.12.4,,2021
Yıldız Teknik Üniversitesi,B.12.5,,2021
Yıldız Teknik Üniversitesi,B.12.6,,2021
Yıldız Teknik Üniversitesi,B.12.7,,2021
Yıldız Teknik Üniversitesi,B.12.8,,2021
Yıldız Teknik Üniversitesi,B.13,63,2021
Yıldız Teknik Üniversitesi,B.14.1,828,2021
Yıldız Teknik Üniversitesi,B.14.2,427493.14,2021
Yıldız Teknik Üniversitesi,B.15,0.18,2021
Yıldız Teknik Üniversitesi,B.16,,2021
Yıldız Teknik Üniversitesi,B.17.1,0.15,2021
Yıldız Teknik Üniversitesi,B.17.2,0.48,2021
Yıldız Teknik Üniversitesi,B.18.1,279,2021
Yıldız Teknik Üniversitesi,B.18.2,79237708.58,2021
Yıldız Teknik Üniversitesi,B.19,0.00514,2021
Yıldız Teknik Üniversitesi,C.1.1,3,2021
Yıldız Teknik Üniversitesi,C.1.2,4,2021
Yıldız Teknik Üniversitesi,C.2,1767,2021
Yıldız Teknik Üniversitesi,C.3.1,16,2021
Yıldız Teknik Üniversitesi,C.3.2,1,2021
Yıldız Teknik Üniversitesi,C.4.1,147,2021
Yıldız Teknik Üniversitesi,C.4.2,609,2021
Yıldız Teknik Üniversitesi,C.5,11,2021
Yıldız Teknik Üniversitesi,C.6,9,2021
Yıldız Teknik Üniversitesi,D.1,15,2021
Yıldız Teknik Üniversitesi,D.2,4235,2021
Yıldız Teknik Üniversitesi,D.3,22,2021
Yıldız Teknik Üniversitesi,D.4,8,2021
Yıldız Teknik Üniversitesi,D.5.1,17,2021
Yıldız Teknik Üniversitesi,D.5.2,1,2021
Yıldız Teknik Üniversitesi,D.6.1,2,2021
Yıldız Teknik Üniversitesi,D.6.2,244,2021
Yıldız Teknik Üniversitesi,D.7,3726975.4,2021
Yıldız Teknik Üniversitesi,D.8,13424,2021
Yıldız Teknik Üniversitesi,D.9,0.05,2021
Selçuk Üniversitesi,A.1,154,2021
Selçuk Üniversitesi,A.2.1,7,2021
Selçuk Üniversitesi,A.2.2,4,2021
Selçuk Üniversitesi,A.3,1,2021
Selçuk Üniversitesi,A.4.1,8,2021
Selçuk Üniversitesi,A.4.2,41,2021
Selçuk Üniversitesi,A.5,48,2021
Selçuk Üniversitesi,A.6,0.9322,2021
Selçuk Üniversitesi,A.7,0.95,2021
Selçuk Üniversitesi,A.8,0.0415,2021
Selçuk Üniversitesi,A.9,0.0000647,2021
Selçuk Üniversitesi,A.10,7,2021
Selçuk Üniversitesi,A.11.1,4.16,2021
Selçuk Üniversitesi,A.11.2,6.23,2021
Selçuk Üniversitesi,B.1,0.225,2021
Selçuk Üniversitesi,B.2,0.47,2021
Selçuk Üniversitesi,B.3,358,2021
Selçuk Üniversitesi,B.4,0.55471,2021
Selçuk Üniversitesi,B.5.1,15,2021
Selçuk Üniversitesi,B.5.2,6,2021
Selçuk Üniversitesi,B.6,0,2021
Selçuk Üniversitesi,B.7,83,2021
Selçuk Üniversitesi,B.8,0,2021
Selçuk Üniversitesi,B.9,65,2021
Selçuk Üniversitesi,B.10,90,2021
Selçuk Üniversitesi,B.11,41,2021
Selçuk Üniversitesi,B.12.1,1001.0000001,2021
Selçuk Üniversitesi,B.12.2,401,2021
Selçuk Üniversitesi,B.12.3,12,2021
Selçuk Üniversitesi,B.12.4,,2021
Selçuk Üniversitesi,B.12.5,,2021
Selçuk Üniversitesi,B.12.6,,2021
Selçuk Üniversitesi,B.12.7,,2021
Selçuk Üniversitesi,B.12.8,,2021
Selçuk Üniversitesi,B.13,12,2021
Selçuk Üniversitesi,B.14.1,722,2021
Selçuk Üniversitesi,B.14.2,532256.29,2021
Selçuk Üniversitesi,B.15,0.1435,2021
Selçuk Üniversitesi,B.16,-0.108,2021
Selçuk Üniversitesi,B.17.1,0.0324,2021
Selçuk Üniversitesi,B.17.2,0.1143,2021
Selçuk Üniversitesi,B.18.1,44,2021
Selçuk Üniversitesi,B.18.2,3292382.19,2021
Selçuk Üniversitesi,B.19,0.00238,2021
Selçuk Üniversitesi,C.1.1,6,2021
Selçuk Üniversitesi,C.1.2,8,2021
Selçuk Üniversitesi,C.2,1950,2021
Selçuk Üniversitesi,C.3.1,2,2021
Selçuk Üniversitesi,C.3.2,0,2021
Selçuk Üniversitesi,C.4.1,9,2021
Selçuk Üniversitesi,C.4.2,163,2021
Selçuk Üniversitesi,C.5,7,2021
Selçuk Üniversitesi,C.6,3,2021
Selçuk Üniversitesi,D.1,11,2021
Selçuk Üniversitesi,D.2,3676,2021
Selçuk Üniversitesi,D.3,3,2021
Selçuk Üniversitesi,D.4,22,2021
Selçuk Üniversitesi,D.5.1,13,2021
Selçuk Üniversitesi,D.5.2,0,2021
Selçuk Üniversitesi,D.6.1,2,2021
Selçuk Üniversitesi,D.6.2,,2021
Selçuk Üniversitesi,D.7,2358329.37,2021
Selçuk Üniversitesi,D.8,9056,2021
Selçuk Üniversitesi,D.9,0.0139,2021
Çukurova Üniversitesi,A.1,140,2021
Çukurova Üniversitesi,A.2.1,8,2021
Çukurova Üniversitesi,A.2.2,3,2021
Çukurova Üniversitesi,A.3,19,2021
Çukurova Üniversitesi,A.4.1,29,2021
Çukurova Üniversitesi,A.4.2,114,2021
Çukurova Üniversitesi,A.5,1440,2021
Çukurova Üniversitesi,A.6,0.98,2021
Çukurova Üniversitesi,A.7,0.8824,2021
Çukurova Üniversitesi,A.8,0.9662,2021
Çukurova Üniversitesi,A.9,0.038,2021
Çukurova Üniversitesi,A.10,8,2021
Çukurova Üniversitesi,A.11.1,4.03,2021
Çukurova Üniversitesi,A.11.2,7.97,2021
Çukurova Üniversitesi,B.1,0.26,2021
Çukurova Üniversitesi,B.2,0.532,2021
Çukurova Üniversitesi,B.3,439,2021
Çukurova Üniversitesi,B.4,0.62851,2021
Çukurova Üniversitesi,B.5.1,16,2021
Çukurova Üniversitesi,B.5.2,7,2021
Çukurova Üniversitesi,B.6,0,2021
Çukurova Üniversitesi,B.7,80,2021
Çukurova Üniversitesi,B.8,0,2021
Çukurova Üniversitesi,B.9,63,2021
Çukurova Üniversitesi,B.10,122,2021
Çukurova Üniversitesi,B.11,108,2021
Çukurova Üniversitesi,B.12.1,1001,2021
Çukurova Üniversitesi,B.12.2,351.401,2021
Çukurova Üniversitesi,B.12.3,12,2021
Çukurova Üniversitesi,B.12.4,,2021
Çukurova Üniversitesi,B.12.5,,2021
Çukurova Üniversitesi,B.12.6,,2021
Çukurova Üniversitesi,B.12.7,,2021
Çukurova Üniversitesi,B.12.8,,2021
Çukurova Üniversitesi,B.13,11,2021
Çukurova Üniversitesi,B.14.1,6,2021
Çukurova Üniversitesi,B.14.2,24390,2021
Çukurova Üniversitesi,B.15,0.0239,2021
Çukurova Üniversitesi,B.16,-0.2073,2021
Çukurova Üniversitesi,B.17.1,0.0483,2021
Çukurova Üniversitesi,B.17.2,0.0666,2021
Çukurova Üniversitesi,B.18.1,41,2021
Çukurova Üniversitesi,B.18.2,16918324,2021
Çukurova Üniversitesi,B.19,0.00351,2021
Çukurova Üniversitesi,C.1.1,8,2021
Çukurova Üniversitesi,C.1.2,3,2021
Çukurova Üniversitesi,C.2,1848,2021
Çukurova Üniversitesi,C.3.1,1,2021
Çukurova Üniversitesi,C.3.2,2,2021
Çukurova Üniversitesi,C.4.1,52,2021
Çukurova Üniversitesi,C.4.2,281,2021
Çukurova Üniversitesi,C.5,6,2021
Çukurova Üniversitesi,C.6,15,2021
Çukurova Üniversitesi,D.1,4,2021
Çukurova Üniversitesi,D.2,127,2021
Çukurova Üniversitesi,D.3,36,2021
Çukurova Üniversitesi,D.4,2,2021
Çukurova Üniversitesi,D.5.1,0,2021
Çukurova Üniversitesi,D.5.2,0,2021
Çukurova Üniversitesi,D.6.1,0,2021
Çukurova Üniversitesi,D.6.2,335,2021
Çukurova Üniversitesi,D.7,42500,2021
Çukurova Üniversitesi,D.8,11883,2021
